lat,lon,name,amenity,category,neighbourhood
49.260812,-123.125736,Starbucks,cafe,food/drink,Fairview
49.260953,-123.125704,Salad Loop,fast_food,food/drink,Fairview
49.264041399999996,-123.1534072,Shell,fuel,cars,Kitsilano
49.2831924,-123.1090499,The Cambie,pub,food/drink,Downtown
49.2692701,-123.0570393,Petro-Canada,fuel,cars,Grandview-Woodland
49.2691285,-123.0561052,,fuel,cars,Hastings-Sunrise
49.2811586,-123.0767324,Korean Community Centre,community_centre,arts/culture,Grandview-Woodland
49.2347493,-123.1547249,McDonald's,fast_food,food/drink,Shaughnessy
49.2819978,-123.1243463,Scotiabank Theatre Vancouver,cinema,arts/culture,Downtown
49.2805037,-123.1068723,Cineplex Odeon International Village Cinemas,theatre,arts/culture,Downtown
49.2635825,-123.1288364,Waves,cafe,food/drink,Fairview
49.2195944,-123.0668488,VPL Fraserview Branch,library,arts/culture,Victoria-Fraserview
49.2325006,-123.0773431,Shell,fuel,cars,Sunset
49.2022069,-123.1341593,Wicked Camper Van,car_rental,cars,Marpole
49.268662,-123.1045109,Faculty Brewing,bar,food/drink,Mount Pleasant
49.2729177,-123.1540262,,car_sharing,cars,Kitsilano
49.2729146,-123.1539774,,car_sharing,cars,Kitsilano
49.2685718,-123.1045263,Argo Cafe,cafe,food/drink,Mount Pleasant
49.2672519,-123.1033949,R & B Ale & Pizza House,pub,food/drink,Mount Pleasant
49.2665754,-123.103744,Peaceful Restaurant,restaurant,food/drink,Mount Pleasant
49.2792244,-123.0995102,UBC Learning Exchange,university,education/childcare,Strathcona
49.281302,-123.0575579,Tacofino Commissary,restaurant,food/drink,Grandview-Woodland
49.2812984,-123.0573443,Miyako Sushi,restaurant,food/drink,Grandview-Woodland
49.2812866,-123.0550913,What's Up? Hot Dog!,restaurant,food/drink,Hastings-Sunrise
49.2821554,-123.0998393,Waves Coffee,cafe,food/drink,Downtown
49.2832655,-123.0978958,St Lawrence Restaurant,restaurant,food/drink,Strathcona
49.2832876,-123.0980745,Cuhillo,restaurant,food/drink,Strathcona
49.2831728,-123.0935162,The Uncommon Cafe,cafe,food/drink,Strathcona
49.2793798,-123.0994827,Vancity,bank,money,Strathcona
49.2796054,-123.1002799,Juniper,restaurant,food/drink,Downtown
49.2796207,-123.1011093,Gold Stone Bakery & Restaurant,restaurant,food/drink,Downtown
49.2821955,-123.1024011,Back and Forth Bar,bar,food/drink,Downtown
49.2831638,-123.1035309,The Sardine Can,restaurant,food/drink,Downtown
49.2836044,-123.1036863,Soft Peaks Ice Cream,ice_cream,food/drink,Downtown
49.284169,-123.1073434,131 Water Kitchen & Bar,bar,food/drink,Downtown
49.2834234,-123.1064112,Jules Bistro,restaurant,food/drink,Downtown
49.2731066,-123.1007271,Tim Hortons,cafe,food/drink,Downtown
49.2873953,-123.1288386,JoongWon,restaurant,food/drink,West End
49.2866244,-123.1282577,Chongqing on Robson,fast_food,food/drink,West End
49.287665,-123.1292506,Stepho's,restaurant,food/drink,West End
49.2867409,-123.1284213,A Taste of India,fast_food,food/drink,West End
49.2875709,-123.1291089,Hon's Wun-Tun House,restaurant,food/drink,West End
49.2873728,-123.1282271,miss KOREAN BBQ,restaurant,food/drink,West End
49.2871553,-123.1290789,Forage,restaurant,food/drink,West End
49.2870445,-123.128902,Timber,restaurant,food/drink,West End
49.2874858,-123.1289807,Miko Sushi,restaurant,food/drink,West End
49.2875631,-123.129718,Cora,restaurant,food/drink,West End
49.2866006,-123.1282087,Chatime,cafe,food/drink,West End
49.2865615,-123.1281828,Pok'e Time,fast_food,food/drink,West End
49.2864194,-123.1272344,Abode,cafe,food/drink,West End
49.2866559,-123.1274985,Shenanigans,pub,food/drink,West End
49.2623529,-123.0894813,Hail Mary's,restaurant,food/drink,Mount Pleasant
49.2687109,-123.1186399,The Wicklow Pub,pub,food/drink,Fairview
49.2821452,-123.0762115,Callister Tasting Room,bar,food/drink,Grandview-Woodland
49.2833626,-123.0757512,Powell Brewery Tasting Room,bar,food/drink,Grandview-Woodland
49.2724958,-123.0777288,Strange Fellows Tasting Room,bar,food/drink,Strathcona
49.2832538,-123.1231985,,atm,money,West End
49.2821191,-123.1336624,Ramen Koika,restaurant,food/drink,West End
49.2814778,-123.1336029,Exile,cafe,food/drink,West End
