neighbourhood,arts/culture,cars,education/childcare,food/drink,healthcare,money
Arbutus Ridge,3,3,3,1,3,3
Downtown,4,5,5,5,5,5
Dunbar-Southlands,3,2,3,1,3,3
Fairview,4,4,3,5,3,4
Grandview-Woodland,3,3,3,5,3,3
Hastings-Sunrise,3,3,3,1,3,3
Kensington-Cedar Cottage,3,3,3,1,3,3
Kerrisdale,3,3,3,1,3,3
Killarney,2,2,3,1,3,3
Kitsilano,3,3,3,5,4,3
Marpole,3,3,3,1,3,3
Mount Pleasant,3,5,3,4,3,3
Oakridge,3,3,3,1,3,3
Renfrew-Collingwood,2,1,3,1,2,2
Riley Park,3,2,3,3,3,3
Shaughnessy,3,3,3,1,3,3
South Cambie,3,3,3,3,3,3
Strathcona,5,3,3,4,3,3
Sunset,3,2,3,1,3,3
Victoria-Fraserview,3,3,3,1,3,2
West End,3,5,3,5,3,3
West Point Grey,3,3,3,3,3,3
