	1971	1976	1981	1986	1991	1996	2001	2006	2011	2016
Arbutus Ridge	  12,865 	  12,800 	  12,420 	  12,285 	  13,058 	  14,050 	  14,515 	  16,145 	  15,910 	  15,295 
Downtown	  6,585 	  5,935 	  6,260 	  5,910 	  8,880 	  17,405 	  27,990 	  43,415 	  54,690 	  62,030 
Dunbar-Southlands	  19,635 	  19,630 	  18,810 	  19,190 	  20,354 	  21,420 	  21,310 	  21,480 	  21,745 	  21,425 
Fairview	  16,070 	  15,250 	  17,490 	  20,945 	  24,321 	  26,265 	  28,405 	  29,295 	  31,445 	  33,620 
Grandview-Woodland	  26,740 	  23,980 	  25,025 	  25,685 	  28,055 	  29,215 	  29,085 	  28,205 	  27,305 	  29,175 
Hastings-Sunrise	  28,530 	  26,400 	  26,905 	  27,545 	  29,771 	  31,085 	  33,045 	  33,130 	  33,990 	  34,575 
Kensington-Cedar Cottage	  34,105 	  33,270 	  34,095 	  35,955 	  39,944 	  42,400 	  44,560 	  44,665 	  47,470 	  49,325 
Kerrisdale	  13,410 	  12,965 	  12,170 	  12,355 	  13,093 	  13,605 	  14,035 	  14,615 	  14,735 	  13,975 
Killarney	  11,575 	  15,375 	  16,745 	  20,210 	  21,389 	  24,415 	  25,785 	  27,180 	  28,450 	  29,325 
Kitsilano	  33,905 	  31,615 	  30,270 	  32,075 	  34,533 	  36,580 	  39,620 	  40,595 	  41,375 	  43,045 
Marpole	  17,700 	  17,145 	  16,650 	  17,250 	  19,453 	  21,730 	  22,415 	  23,785 	  23,835 	  24,460 
Mount Pleasant	  19,975 	  19,190 	  20,205 	  21,000 	  22,644 	  23,695 	  24,535 	  23,615 	  26,400 	  32,955 
Oakridge	  10,670 	  10,340 	  10,015 	  10,140 	  10,560 	  11,370 	  11,795 	  12,725 	  12,440 	  13,030 
Renfrew-Collingwood	  29,850 	  29,530 	  30,550 	  31,585 	  35,204 	  41,780 	  44,950 	  48,885 	  50,505 	  51,530 
Riley Park	  20,160 	  18,560 	  18,195 	  18,410 	  20,332 	  21,710 	  21,990 	  21,815 	  21,795 	  22,555 
Shaughnessy	  10,370 	  9,660 	  9,345 	  9,200 	  9,268 	  9,090 	  9,020 	  8,900 	  8,805 	  8,430 
South Cambie	  6,945 	  6,435 	  5,900 	  6,105 	  6,429 	  6,740 	  6,995 	  7,070 	  7,675 	  7,970 
Strathcona	  11,545 	  9,815 	  10,580 	  10,425 	  11,423 	  11,645 	  11,575 	  11,920 	  12,165 	  12,585 
Sunset	  24,355 	  24,020 	  24,560 	  25,210 	  29,214 	  31,320 	  33,425 	  35,230 	  36,285 	  36,500 
Victoria-Fraserview	  22,145 	  21,045 	  21,160 	  21,785 	  24,149 	  25,705 	  27,150 	  29,200 	  30,710 	  31,065 
West End	  37,515 	  36,450 	  36,950 	  37,050 	  38,408 	  40,940 	  42,120 	  44,560 	  44,540 	  47,200 
West Point Grey	  11,865 	  11,540 	  11,255 	  11,540 	  12,732 	  12,885 	  12,680 	  12,990 	  12,795 	  13,065 
