station,lat,lon
22nd Street,49.1999706,-122.9490425
29th Avenue,49.24428,-123.04611
Aberdeen,49.1839615,-123.1364382
Braid,49.2332626,-122.8828625
Brentwood Town Centre,49.2663877,-123.0016074
Bridgeport,49.1955328,-123.1260566
Broadway–City Hall,49.26283,-123.1145299
Burquitlam,49.2613146,-122.8898724
Burrard,49.2855528,-123.1202039
Columbia,49.2048248,-122.90612
Commercial–Broadway,49.262623,-123.0692365
Coquitlam Central,49.2739162,-122.8001181
Edmonds,49.2123078,-122.9591934
Gateway,49.1989664,-122.8506746
Gilmore,49.26495999999999,-123.013646
Granville,49.2831309,-123.1157473
Holdom,49.2647103,-122.9821687
Inlet Centre,49.27721,-122.82819
Joyce–Collingwood,49.2383732,-123.0317578
King Edward,49.2491867,-123.115857
King George,49.1827908,-122.8447973
Lafarge Lake–Douglas,49.28564919999999,-122.7916212
Lake City Way,49.2546,-122.93918
Langara–49th Avenue,49.2263277,-123.1160772
Lansdowne,49.1748007,-123.1364102
Lincoln,49.28037639999999,-122.7939167
Lougheed Town Centre,49.2484718,-122.896952
Main Street–Science World,49.273172,-123.10035
Marine Drive,49.20967,-123.11702
Metrotown,49.2258208,-123.003862
Moody Centre,49.27800999999999,-122.8460301
Nanaimo,49.24827819999999,-123.0559173
New Westminster,49.201459,-122.912629
Oakridge–41st Avenue,49.2331553,-123.1166421
Olympic Village,49.26654,-123.11562
Patterson,49.22976120000001,-123.0126322
Production Way–University,49.2534402,-122.9181349
Renfrew,49.25891,-123.04538
Richmond–Brighouse,49.16808229999999,-123.1362887
Royal Oak,49.2200741,-122.9884735
Rupert,49.2608509,-123.0328912
Sapperton,49.2252877,-122.8901018
Scott Road,49.2044147,-122.8742956
Sea Island Centre,49.1930461,-123.15789
Sperling–Burnaby Lake,49.2592,-122.9639999
Stadium–Chinatown,49.2796165,-123.1097761
Surrey Central,49.1895667,-122.8479529
Templeton,49.19668129999999,-123.146324
Vancouver City Centre,49.2824692,-123.1186127
VCC–Clark,49.26587689999999,-123.078987
Waterfront,49.28598,-123.1115801
Yaletown–Roundhouse,49.27459409999999,-123.1218731
YVR–Airport,49.1942086,-123.1782726
