neighbourhood,year,month,crime_count,population,crime_rate
Arbutus Ridge,2016,1,19,15295,12.422360248447205
Arbutus Ridge,2016,2,11,15295,7.191892775416802
Arbutus Ridge,2016,3,8,15295,5.2304674730304015
Arbutus Ridge,2016,4,9,15295,5.884275907159203
Arbutus Ridge,2016,5,5,15295,3.2690421706440014
Arbutus Ridge,2016,6,9,15295,5.884275907159203
Arbutus Ridge,2016,7,7,15295,4.576659038901602
Arbutus Ridge,2016,8,6,15295,3.9228506047728016
Arbutus Ridge,2016,9,7,15295,4.576659038901602
Arbutus Ridge,2016,10,5,15295,3.2690421706440014
Arbutus Ridge,2016,11,6,15295,3.9228506047728016
Arbutus Ridge,2016,12,7,15295,4.576659038901602
Downtown,2016,1,95,62030,15.315170078994036
Downtown,2016,2,83,62030,13.380622279542157
Downtown,2016,3,99,62030,15.960019345477996
Downtown,2016,4,105,62030,16.927293245203934
Downtown,2016,5,90,62030,14.509108495889087
Downtown,2016,6,92,62030,14.831533129131065
Downtown,2016,7,133,62030,21.44123811059165
Downtown,2016,8,116,62030,18.700628728034822
Downtown,2016,9,104,62030,16.766080928582944
Downtown,2016,10,110,62030,17.733354828308883
Downtown,2016,11,89,62030,14.347896179268096
Downtown,2016,12,83,62030,13.380622279542157
Dunbar-Southlands,2016,1,14,21425,6.534422403733955
Dunbar-Southlands,2016,2,14,21425,6.534422403733955
Dunbar-Southlands,2016,3,8,21425,3.733955659276546
Dunbar-Southlands,2016,4,7,21425,3.2672112018669774
Dunbar-Southlands,2016,5,9,21425,4.200700116686114
Dunbar-Southlands,2016,6,8,21425,3.733955659276546
Dunbar-Southlands,2016,7,9,21425,4.200700116686114
Dunbar-Southlands,2016,8,5,21425,2.3337222870478413
Dunbar-Southlands,2016,9,4,21425,1.866977829638273
Dunbar-Southlands,2016,10,8,21425,3.733955659276546
Dunbar-Southlands,2016,11,11,21425,5.13418903150525
Dunbar-Southlands,2016,12,9,21425,4.200700116686114
Fairview,2016,1,11,33620,3.271861986912552
Fairview,2016,2,23,33620,6.841165972635336
Fairview,2016,3,15,33620,4.46162998215348
Fairview,2016,4,8,33620,2.379535990481856
Fairview,2016,5,14,33620,4.164187983343248
Fairview,2016,6,13,33620,3.866745984533016
Fairview,2016,7,13,33620,3.866745984533016
Fairview,2016,8,14,33620,4.164187983343248
Fairview,2016,9,22,33620,6.543723973825104
Fairview,2016,10,15,33620,4.46162998215348
Fairview,2016,11,20,33620,5.94883997620464
Fairview,2016,12,15,33620,4.46162998215348
Grandview-Woodland,2016,1,32,29175,10.968294772922022
Grandview-Woodland,2016,2,37,29175,12.682090831191088
Grandview-Woodland,2016,3,46,29175,15.766923736075407
Grandview-Woodland,2016,4,28,29175,9.597257926306769
Grandview-Woodland,2016,5,31,29175,10.62553556126821
Grandview-Woodland,2016,6,36,29175,12.339331619537276
Grandview-Woodland,2016,7,25,29175,8.56898029134533
Grandview-Woodland,2016,8,34,29175,11.653813196229649
Grandview-Woodland,2016,9,26,29175,8.911739502999144
Grandview-Woodland,2016,10,33,29175,11.311053984575837
Grandview-Woodland,2016,11,23,29175,7.8834618680377035
Grandview-Woodland,2016,12,22,29175,7.54070265638389
Hastings-Sunrise,2016,1,37,34575,10.701373825018077
Hastings-Sunrise,2016,2,27,34575,7.809110629067246
Hastings-Sunrise,2016,3,30,34575,8.676789587852495
Hastings-Sunrise,2016,4,23,34575,6.652205350686913
Hastings-Sunrise,2016,5,24,34575,6.941431670281996
Hastings-Sunrise,2016,6,25,34575,7.230657989877079
Hastings-Sunrise,2016,7,22,34575,6.362979031091829
Hastings-Sunrise,2016,8,17,34575,4.916847433116414
Hastings-Sunrise,2016,9,17,34575,4.916847433116414
Hastings-Sunrise,2016,10,21,34575,6.073752711496746
Hastings-Sunrise,2016,11,21,34575,6.073752711496746
Hastings-Sunrise,2016,12,25,34575,7.230657989877079
Kensington-Cedar Cottage,2016,1,26,49325,5.27116066903193
Kensington-Cedar Cottage,2016,2,20,49325,4.054738976178409
Kensington-Cedar Cottage,2016,3,34,49325,6.893056259503294
Kensington-Cedar Cottage,2016,4,25,49325,5.06842372022301
Kensington-Cedar Cottage,2016,5,27,49325,5.473897617840851
Kensington-Cedar Cottage,2016,6,32,49325,6.487582361885453
Kensington-Cedar Cottage,2016,7,35,49325,7.095793208312215
Kensington-Cedar Cottage,2016,8,25,49325,5.06842372022301
Kensington-Cedar Cottage,2016,9,28,49325,5.6766345666497715
Kensington-Cedar Cottage,2016,10,27,49325,5.473897617840851
Kensington-Cedar Cottage,2016,11,49,49325,9.9341104916371
Kensington-Cedar Cottage,2016,12,34,49325,6.893056259503294
Kerrisdale,2016,1,14,13975,10.01788908765653
Kerrisdale,2016,2,11,13975,7.8711985688729875
Kerrisdale,2016,3,8,13975,5.724508050089446
Kerrisdale,2016,4,6,13975,4.293381037567084
Kerrisdale,2016,5,4,13975,2.862254025044723
Kerrisdale,2016,6,6,13975,4.293381037567084
Kerrisdale,2016,7,9,13975,6.440071556350626
Kerrisdale,2016,8,22,13975,15.742397137745975
Kerrisdale,2016,9,6,13975,4.293381037567084
Kerrisdale,2016,10,10,13975,7.155635062611807
Kerrisdale,2016,11,16,13975,11.449016100178891
Kerrisdale,2016,12,12,13975,8.586762075134168
Killarney,2016,1,11,29325,3.7510656436487637
Killarney,2016,2,16,29325,5.456095481670929
Killarney,2016,3,10,29325,3.4100596760443307
Killarney,2016,4,16,29325,5.456095481670929
Killarney,2016,5,13,29325,4.43307757885763
Killarney,2016,6,15,29325,5.115089514066495
Killarney,2016,7,15,29325,5.115089514066495
Killarney,2016,8,8,29325,2.7280477408354646
Killarney,2016,9,9,29325,3.069053708439897
Killarney,2016,10,12,29325,4.092071611253197
Killarney,2016,11,21,29325,7.161125319693095
Killarney,2016,12,8,29325,2.7280477408354646
Kitsilano,2016,1,39,43045,9.060285747473573
Kitsilano,2016,2,14,43045,3.252410268323847
Kitsilano,2016,3,35,43045,8.131025670809617
Kitsilano,2016,4,35,43045,8.131025670809617
Kitsilano,2016,5,24,43045,5.575560459983738
Kitsilano,2016,6,21,43045,4.878615402485771
Kitsilano,2016,7,24,43045,5.575560459983738
Kitsilano,2016,8,34,43045,7.898710651643629
Kitsilano,2016,9,29,43045,6.7371355558136825
Kitsilano,2016,10,19,43045,4.413985364153793
Kitsilano,2016,11,19,43045,4.413985364153793
Kitsilano,2016,12,21,43045,4.878615402485771
Marpole,2016,1,21,24460,8.585445625511039
Marpole,2016,2,26,24460,10.62959934587081
Marpole,2016,3,15,24460,6.132461161079314
Marpole,2016,4,17,24460,6.950122649223222
Marpole,2016,5,15,24460,6.132461161079314
Marpole,2016,6,12,24460,4.905968928863451
Marpole,2016,7,11,24460,4.497138184791496
Marpole,2016,8,23,24460,9.403107113654947
Marpole,2016,9,19,24460,7.76778413736713
Marpole,2016,10,17,24460,6.950122649223222
Marpole,2016,11,21,24460,8.585445625511039
