neighbourhood	1971	1976	1981	1986	1991	1996	2001	2006	2011	2016	2017	2018	2019	2020	2021
Arbutus Ridge	12865	12800	12420	12285	13058	14050	14515	16145	15910	15295	15174	15055	14937	14820	14703
Downtown	6585	5935	6260	5910	8880	17405	27990	43415	54690	62030	63612	65234	66898	68605	70355
Dunbar-Southlands	19635	19630	18810	19190	20354	21420	21310	21480	21745	21425	21361	21298	21235	21172	21109
Fairview	16070	15250	17490	20945	24321	26265	28405	29295	31445	33620	34072	34531	34996	35467	35945
Grandview-Woodland	26740	23980	25025	25685	28055	29215	29085	28205	27305	29175	29564	29958	30357	30762	31173
Hastings-Sunrise	28530	26400	26905	27545	29771	31085	33045	33130	33990	34575	34693	34811	34930	35050	35170
Kensington-Cedar Cottage	34105	33270	34095	35955	39944	42400	44560	44665	47470	49325	49704	50087	50472	50861	51252
Kerrisdale	13410	12965	12170	12355	13093	13605	14035	14615	14735	13975	13827	13682	13537	13395	13254
Killarney	11575	15375	16745	20210	21389	24415	25785	27180	28450	29325	29503	29682	29862	30044	30226
Kitsilano	33905	31615	30270	32075	34533	36580	39620	40595	41375	43045	43387	43731	44079	44429	44782
Marpole	17700	17145	16650	17250	19453	21730	22415	23785	23835	24460	24586	24714	24842	24971	25101
Mount Pleasant	19975	19190	20205	21000	22644	23695	24535	23615	26400	32955	34449	36012	37645	39352	41137
Oakridge	10670	10340	10015	10140	10560	11370	11795	12725	12440	13030	13151	13273	13397	13522	13647
Renfrew-Collingwood	29850	29530	30550	31585	35204	41780	44950	48885	50505	51530	51737	51945	52154	52364	52575
Riley Park	20160	18560	18195	18410	20332	21710	21990	21815	21795	22555	22710	22866	23023	23182	23341
Shaughnessy	10370	9660	9345	9200	9268	9090	9020	8900	8805	8430	8356	8284	8212	8141	8070
South Cambie	6945	6435	5900	6105	6429	6740	6995	7070	7675	7970	8030	8091	8152	8214	8276
Strathcona	11545	9815	10580	10425	11423	11645	11575	11920	12165	12585	12670	12757	12843	12931	13019
Sunset	24355	24020	24560	25210	29214	31320	33425	35230	36285	36500	36543	36586	36629	36672	36716
Victoria-Fraserview	22145	21045	21160	21785	24149	25705	27150	29200	30710	31065	31136	31208	31279	31351	31424
West End	37515	36450	36950	37050	38408	40940	42120	44560	44540	47200	47750	48307	48871	49441	50018
West Point Grey	11865	11540	11255	11540	12732	12885	12680	12990	12795	13065	13119	13174	13229	13285	13340
